wave,flux
2768.7848,-3.4112782e-14
2769.2004,-3.5783818e-14
2769.6160,-2.8394257e-14
2770.0318,-1.2253804e-14
2770.4476,-1.4613085e-15
2770.8634,6.2052189e-15
2771.2793,5.7893587e-15
2771.6953,7.7691310e-15
2772.1113,8.0439000e-15
2772.5274,1.0839957e-14
2772.9436,6.2323722e-15
2773.3598,1.3212886e-15
2773.7761,-5.9026216e-15
2774.1925,-4.6296136e-15
2774.6089,-1.9372499e-15
2775.0254,3.4258891e-15
2775.4419,3.8476750e-16
2775.8585,-3.8000599e-15
2776.2752,-8.9039179e-15
2776.6919,-3.1763410e-15
2777.1087,3.9873481e-15
2777.5256,9.3148539e-15
2777.9425,6.4828776e-17
2778.3595,-1.2971056e-14
2778.7765,-2.5754404e-14
2779.1936,-2.5500966e-14
2779.6108,-1.9286036e-14
2780.0280,-6.3397365e-15
2780.4453,2.5222719e-15
2780.8627,1.2121420e-14
2781.2801,1.6189892e-14
2781.6976,2.0149572e-14
2782.1151,1.6133734e-14
2782.5327,1.0354635e-14
2782.9504,-6.5178596e-16
2783.3681,-6.3537608e-15
2783.7859,-9.1044849e-15
2784.2038,-3.0257040e-15
2784.6217,1.0748154e-15
2785.0397,3.2211596e-15
2785.4577,-5.8623729e-15
2785.8758,-1.7043368e-14
2786.2940,-3.0138432e-14
2786.7122,-3.2823338e-14
2787.1305,-2.9841186e-14
2787.5489,-1.7898145e-14
2787.9673,-7.8491703e-15
2788.3858,3.9545117e-15
2788.8043,1.1002786e-14
2789.2229,2.0961378e-14
2789.6416,2.7217443e-14
2790.0604,3.3523191e-14
2790.4792,2.9827043e-14
2790.8980,2.2088203e-14
2791.3169,7.4092163e-15
2791.7359,-1.7385180e-15
2792.1550,-6.7824126e-15
2792.5741,-3.9159916e-16
2792.9933,6.6917281e-15
2793.4125,1.6262571e-14
2793.8318,1.8119041e-14
2794.2512,1.7669663e-14
2794.6706,9.4872656e-15
2795.0901,1.4513614e-15
2795.5096,-1.0742685e-14
2795.9293,-1.8064840e-14
