SNR_bin,NeV_median,NeV_p16,NeV_p84,NeV_p023,NeV_p977,OIII_4364_median,OIII_4364_p16,OIII_4364_p84,OIII_4364_p023,OIII_4364_p977,HeII_4687_median,HeII_4687_p16,HeII_4687_p84,HeII_4687_p023,HeII_4687_p977
3.9827586206896552,0.019092849480937868,-0.9919801907947255,0.9717123915326055,-2.2167014210989544,2.2725380354309315,-0.030826035007054615,-0.6390197649229619,0.6125482240572687,-1.2510874216051255,1.345791006898502,0.043857995780709744,-0.5274871461075034,0.8784502898132259,-1.8021346067881763,1.5390025366132383
4.362068965517241,0.0030187462835512932,-1.0318368584584043,0.9606103671284645,-2.2111244503200798,2.2367313741302253,0.057716795700262814,-0.4886310754908289,0.5292319703647974,-1.1908595646860627,0.9523711055531895,-0.003231190374787106,-0.6554108434130991,0.5499147128114075,-1.6194052653308015,1.1538221516254112
4.741379310344827,0.017709202384579095,-0.9663150888989016,0.9781689285863884,-1.9758036630760838,2.0033435794368075,0.02180787670312677,-0.47499893682882144,0.40299574313743963,-0.8618272433211664,1.0287732315522933,0.10584704278792821,-0.32536525484030104,0.6096360435406529,-0.8531954488416112,1.0440001302869835
5.120689655172413,-0.013450268756641572,-0.8105009167907777,0.8179465502988019,-1.7557864120883333,1.851520096838935,0.1426421035384156,-0.4071082982001451,0.5293844091595225,-0.9702052728440554,1.2318697894937383,0.025936883083293547,-0.3944299855487472,0.30639427224487137,-0.508780588049239,0.4118722425682797
5.5,-0.06670718346738663,-0.7962195578168428,0.6931176749270019,-1.8680795521280842,1.6595291506005347,-0.0374993102675768,-0.5727433056773864,0.32539814128721983,-0.9328651030753263,0.8992205792497155,-0.23488450918344456,-0.5117484919255435,0.17418244661575877,-0.8150598207400548,0.4253262091204152
5.879310344827585,-0.01619734706925581,-0.6899010318283809,0.525356674840157,-1.6187415933978841,1.5889866250390317,-0.14626701572200693,-0.5196876926841488,0.3186752299049934,-1.1185395543654921,0.5460600509196032,-0.17545783730038614,-0.4485204839225122,0.2154921584076533,-0.8751996764348502,0.2909463332677457
6.258620689655173,-0.01546863761983777,-0.5941186603675876,0.44633451670594065,-1.7706065365809398,1.159626967456115,0.17645029570891138,-0.4877285741152156,0.5147519510668926,-1.0661399785894112,1.0008252590964275,0.07842380176840824,-0.05810428448571915,0.2386423707663131,-0.15600502866844615,0.33467643875092756
6.637931034482758,0.008455704598353755,-0.37889651578651296,0.47700883745642014,-1.2393257558614443,1.6108961631910825,-0.137218640679766,-0.38436028108205433,0.2873562541178116,-0.8685156490009887,0.534728279589318,0.2115296607749257,-0.37388809736544926,0.22150977339122843,-0.5824012248404723,0.22269835562768855
7.017241379310345,-0.04238802391130686,-0.5007921171043994,0.4507610394209707,-1.255424746049008,1.1930819979377065,-0.035790121630701284,-0.42431638030953356,0.26653706128006943,-0.6787428025055697,0.34854886745653224,0.022210614412406692,-0.26320850595216616,0.23048283921246426,-0.4920232876620345,0.3783943196404613
7.396551724137931,-0.02738972577387389,-0.41152286056117926,0.3480500589239701,-1.2767922769483289,1.258078293344769,-0.05416077689285638,-0.3677049291056719,0.1851284489579021,-0.45393038439306566,0.9830809674083376,-0.055312348764062644,-0.4585311942400928,0.11016897705253899,-0.8691476967017112,0.15427721950404508
7.775862068965517,0.11754295684320286,-0.27577737400996044,0.40856607839508957,-0.9493842817670113,0.9493842817670115,0.017805662506479338,-0.2925839327178979,0.36785455318876953,-0.4475292556538551,0.5303414573627214,0.12955218194484558,-0.045838642403931845,0.21546229984457024,-0.17438496270080828,0.27868432262989845
8.155172413793103,0.0031204151248135853,-0.49226365517967074,0.38783251385112194,-1.1174957194687072,1.341802150318063,-0.07800594296392499,-0.4145166086263175,0.39119821002486005,-0.7824981674222907,0.7824981674222908,-0.18220429928036397,-0.21641499876836517,-0.12512171663579078,-0.2604768429101308,-0.07038403143165417
8.53448275862069,-0.011149776038080535,-0.2744724619242735,0.5336163356907118,-0.9327111529549089,1.1816865924036257,0.0012931490802393362,-0.2418825125311884,0.37977710903217815,-0.5959194533453456,0.5845024474908904,-0.1227969216022978,-0.18383814959519867,0.7774097517357162,-0.190758583939298,2.0252954520066226
8.913793103448274,-0.0325415417873349,-0.4377873949673658,0.2155624138851201,-0.7087828980454893,0.5852111871393543,0.10806880695208361,-0.524440541406297,0.48747715559720245,-0.6416553895101901,0.6999798972578211,0.4608319294505153,-0.02231780509953929,0.7770865641666083,-0.29441840121908636,0.9287759201685367
9.293103448275861,0.04328200288908514,-0.24851637024287046,0.3394369942953736,-0.5493013119081613,1.0327757494616518,0.04747375789177642,-0.16535487645031852,0.24721809753560403,-0.41280715097924686,0.40081931658425807,0.03872077303033995,-0.041278581324030714,0.0462536470520056,-0.18107183889269107,0.07956414689325253
9.672413793103448,-0.0823452714719146,-0.39103761303472606,0.5070918982148287,-0.7092267953108914,0.9907633720430455,-0.02541849583167983,-0.3834859311530534,0.4296691341286759,-0.5786189277856963,0.5860270008328783,-0.20418084411823031,-0.41634968992152654,0.005946727075296573,-0.49923781043943233,0.09087612220297168
10.051724137931034,-0.12480391882639,-0.3167095704967927,0.23957409312536135,-0.4643464086834243,0.46305180687218495,-0.033511333470169026,-0.23806870655630807,0.17415641091234607,-0.45667525404501713,0.28978795236988136,0.03819353419336622,0.03819353419336622,0.17773807392778485,0.03819353419336622,0.23413920818017128
10.43103448275862,-0.07016202007896691,-0.3844558418382686,0.478034386641544,-0.9736945559625839,0.5961544713210858,0.14550614261637868,-0.22290139921695842,0.37138207526307454,-0.5749798780327954,0.44971058768113215,-1.3877787807814457e-17,-0.12095421906096071,0.12265450375382933,-0.12445161315482672,0.12731793427883933
10.810344827586206,0.21477606345272768,-0.05612335865443455,0.3182360588355978,-0.2016039181610309,0.7719219895464735,0.004947107048170122,-0.15424155688320434,0.1640213037532036,-0.269162226288268,0.2147393376746792,0.002866321124012677,-0.09848920688898984,0.14392979982111825,-0.15173719900491062,0.157726564317217
